59,60,WaykiChain,60,Diamond,60,NeosCoin,60,OP Coin,60,TeslaCoin,60,Rubies,60,Digital Money...,60,Project Pai,60.0,Infinipay
60,61,Syscoin,61,MonetaryUnit,61,Giant,61,BitMoney,61,AudioCoin,61,Swing,61,KingN Coin,61,MIR COIN,61.0,Mero
61,62,Byteball Bytes,62, Scorum Coins,62,Swisscoin,62,Blocknode,62,Skeincoin,62,Rimbit,62,MojoCoin,62,HYCON,62.0,CommunityGene...
62,63,NULS,63,XEL,63,Ryo Currency,63,HUZU,63,RussiaCoin,63,Bitdeal,63,Allion,63,BUMO,63.0,AvatarCoin
63,64,Nexus,64,Graft,64,VULCANO,64,Advanced Tech...,64,Orbitcoin,64,Golfcoin,64,Independent M...,64,PLATINCOIN,64.0,Francs
64,65,BridgeCoin,65,PotCoin,65,Lethean,65,Condominium,65,Kobocoin,65,CatoCoin,65,DeusCoin,65,Filecoin [Fut...,65.0,Cubits
65,66,CyberMiles,66,Bean Cash,66,Utrum,66,Rupaya,66,Galactrum,66,Jin Coin,66,CompuCoin,66,Super Bitcoin,66.0,Pabyosi Coin ...
66,67,Particl,67,Crown,67,Helium,67,Elementrem,67,BioCoin,67,Pure,67,SmartFox,67,Lightning Bit...,67.0,Halloween Coin
67,68,Emercoin,68,Spectrecoin,68,Niobio Cash,68,Project Coin,68,NobleCoin,68,Cream,68,AmsterdamCoin,68,Ether Zero,68.0,Birds
68,69,GoChain,69,Stealth,69,VeriumReserve,69,Arepacoin,69,FORCE,69,Darsek,69,Rhenium,69,Bitcoin God,69.0,Wink
69,70,SmartCash,70,Ulord,70,Bettex Coin,70,GlobalToken,70,QubitCoin,70,Numus,70,Centurion,70,FuturoCoin,70.0,Magnetcoin
70,71,Groestlcoin,71,Rise,71,Memetic / Pep...,71,Lobstex,71,DigitalPrice,71,ChessCoin,71,INDINODE,71,Aidos Kuneen,71.0,Dutch Coin
71,72,Unobtanium,72,HempCoin,72,Lynx,72,Obsidian,72,Canada eCoin,72,Joincoin,72,Nekonium,72,FOIN,72.0,EA Coin
72,73,Neblio,73,DeepOnion,73,EDRCoin,73,XGOX,73,Block-Logic,73,Bitcoin 21,73,Atomic Coin,73,Hdac,73.0,EmaratCoin
73,74,Energi,74,SafeInsure,74,EUNO,74,QYNO,74,Condensate,74,Aricoin,74,TajCoin,74,SegWit2x,,
74,75,Vitae,75,Divi,75,FedoraCoin,75,ProCurrency,75,PoSW Coin,75,Wispr,75,Acoin,75,BitcoinX,,
75,76,Vertcoin,76,Experience Po...,76,Credit Tag Chain,76,Emerald Crypto,76,FujiCoin,76,Synergy,76, Dollarcoin,76,OFCOIN,,
76,77,Skycoin,77,Yocoin,77,TransferCoin,77,Unify,77,Truckcoin,77,Local World F...,77,PostCoin,77,United Bitcoin,,
77,78,TokenPay,78,Semux,78,e-Gulden,78,Citadel,78,TrumpCoin,78,AquariusCoin,78,UralsCoin,78,Moving Cloud ...,,
78,79,Peercoin,79,GridCoin,79,Karbo,79,Onix,79,FantasyGold,79,Coin(O),79,C-Bit,79,StarCoin,,
79,80,Wagerr,80,Radium,80,MedicCoin,80,MMOCoin,80,808Coin,80,SmartCoin,80,Polcoin,80,ILCoin,,
80,81,Nasdacoin,81,NoLimitCoin,81,Terracoin,81,Vivid Coin,81,Vsync,81,VoteCoin,81,Ammo Reloaded,81,Ti-Value,,
81,82,NavCoin,82,Zen Protocol,82,Trittium,82,SCRIV NETWORK,82,Deutsche eMark,82,Mincoin,82,LiteBitcoin,82,OceanChain,,
82,83,Apollo Currency,83,VeriCoin,83,Denarius,83,Bitblocks,83,ZEST,83,Masternodecoin,83,JIYO,83,Smart Bitcoin,,
83,84,CasinoCoin,84,Quasarcoin,84,DopeCoin,84,WhaleCoin,84,Freicoin,84,InsaneCoin,84,Neuro,84,ClubCoin,,
84,85,Quantum Resis...,85,Birake,85,TrezarCoin,85,BitcoiNote,85,Opal,85,Commercium,85,GambleCoin,85,DEEX,,
85,86,Gulden,86,I/O Coin,86,Breakout,86,BLAST,86,TagCoin,86,PureVidz,86,Californium,86,WXCOINS,,
86,87,Ubiq,87,Nimiq,87,BitCoen,87,Plancoin,87,Ellaism,87,X-Coin,87,SOILcoin,87,WIZBL,,
87,88,Blocknet,88,Lightpaycoin,88,ZCore,88,Phonecoin,88,Bitcoin Scrypt,88,Signatum,88,High Voltage,88, Monero Classic,,
88,89,Burst,89,LUXCoin,89,eBoost,89,Arion,89,Moin,89,Zurcoin,89,Eryllium,89,Bitcoin File,,
89,90,AurumCoin,90,Global Crypto...,90,CannabisCoin,90,TOKYO,90,IncaKoin,90,Impact,90,Phantomx,90,MSD,,
90,91,WhiteCoin,91,Anoncoin,91,Sumokoin,91,Carebit,91,PopularCoin,91,Graphcoin,91,Bitcoin Planet,91,Infinitecoin,,
91,92,Einsteinium,92,Pura,92,GoldMint,92,PrimeStone,92,Elcoin,92,Dystem,92,GeyserCoin,92,DasCoin,,
92,93,Stakenet,93,MintCoin,93,Kalkulus,93,Megacoin,93,Digitalcoin,93,Printex,93,Marijuanacoin,93,ShopZcoin,,
93,94,PRIZM,94,Vipstar Coin,94,NuBits,94,Steneum Coin,94,Bitcloud,94,Help The Home...,94,CoinonatX,94,EtherInc,,
94,95,BitBay,95,ATC Coin,95,Stipend,95,RPICoin,95,Innova,95,BlazeCoin,95,Litecred,95,PayDay Coin,,
95,96,Namecoin,96,ChatCoin,96,SnowGem,96,Titcoin,96,Bitradio,96,Atheios,96,Cannation,96,TCOIN,,
96,97,SaluS,97,NewYorkCoin,97,Apollon,97,BZLCOIN,97,Cashcoin,97,Ethereum Dark,97,FuzzBalls,97,X12 Coin,,
97,98,DigitalNote,98,Stellite,98,Universal Cur...,98,AceD,98,Linx,98,AdultChain,98,ARbit,98,DarkPayCoin,,
98,99,E-Dinar Coin,99,Auroracoin,99,Neutron,99,Dinero,99,Phoenixcoin,99,Netko,99,Comet,99,MicroBitcoin,,
