price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
437250,800,85409,58,725,304,2395,667,174,458500
11775,461,8341,34,297,116,2378,263,170,12100
581,1,424,24,18,6,387,-6,4,598
4408,118,4650,1,14,23,167,13,19,4373
6550,249,4052,6,51,46,370,45,36,7025
2835,-11,3251,56,408,35,1912,352,6,2425
23775,594,15972,31,333,84,826,302,59,22725
4445,107,4168,9,-189,29,436,-198,17,6215
64900,-461,34611,207,600,210,1871,394,-77,66300
9600,80,4779,6,-25,51,539,-31,18,10255
14925,288,3320,103,203,126,761,100,139,13250
1837,-22,1714,3,-14,-16,142,-17,-17,1995
2115,60,4093,108,157,35,1300,49,35,1820
7205,703,11668,-3,1,137,1393,4,115,6530
9975,77,7040,6,16,7,386,10,5,11550
1735,-322,3572,-14,-90,-58,2754,-76,-357,1685
4766,14,3717,8,-76,19,352,-84,2,4593
7760,669,9434,1,152,44,2604,152,204,8440
1740,40,1868,5,-5,24,289,-11,14,1600
2230,7,838,6,-17,8,120,-23,5,2283
4270,30,7618,11,-36,7,360,-47,3,3835
3608,-57,4746,148,283,42,1117,134,-30,4093
11925,142,7330,48,-31,8,115,-78,9,12400
2248,395,5673,150,386,127,3047,236,96,2120
24150,411,9296,22,80,8,263,58,44,36675
16100,326,16388,487,512,52,662,25,28,16200
4840,-29,3396,6,8,6,187,2,-6,4865
3353,304,5558,259,180,200,1812,-79,326,3173
9480,372,4567,2,-1456,218,838,-1458,174,11475
1470,29,1202,1,-3,3,79,-4,10,1473
5117,-4,4374,1,239,31,935,238,3,5415
10430,-1048,6926,2,-4,-25,36,-6,-120,9705
3490,-36,956,14,2,-10,153,-12,-18,3978
5726,241,9833,2,-9,3,212,-10,28,5118
3125,145,7261,3,120,53,526,117,21,3333
76400,546,26199,44,67,148,1084,23,67,97000
85650,451,16650,141,-5,103,1713,-147,49,103400
7650,-13,1005,0,2,-1,13,1,-4,13795
1165,-476,395,-39,-54,-75,33,-15,-186,1273
9110,20,5994,1,20,-1,304,20,3,9110
3115,13,4601,9,-105,26,261,-114,3,3193
3657,139,3913,1,19,29,157,18,32,3770
18675,348,4856,41,-58,79,617,-99,48,25275
5965,-1210,5793,24,-113,-43,481,-137,-326,6740
4541,-1183,6240,8,16,-39,380,9,-95,4258
9180,301,8656,79,51,43,357,-28,33,10975
31675,146,7344,17,11,65,209,-5,32,33675
4600,-38,1017,1,-6,0,52,-6,-9,5740
2693,-35,1860,0,-12,-4,199,-12,-14,2450
10390,379,4690,11,54,47,226,43,46,10220
2290,-173,4173,27,98,-71,250,71,-73,2085
2640,-28,713,0,-5,-12,34,-4,-36,2903
7540,157,3919,3,37,30,227,34,25,7800
3155,167,7698,37,284,191,3409,247,60,3055
13325,151,7015,-54,12,47,707,66,25,13825
1493,-170,1437,2,-42,-35,29,-44,-37,1488
14625,15,4040,4,-64,-23,84,-68,5,13825
11325,42,9377,9,153,48,768,144,7,9620
7150,54,1710,0,19,13,71,19,11,6580
29725,-313,14723,13,15,12,681,2,-80,36475
7915,821,18728,7,96,39,944,90,100,7675
4057,-399,1598,-8,14,3,-112,23,-109,4615
7470,207,7781,28,-18,98,946,-47,46,7580
30800,178,6667,18,50,45,197,31,24,37525
10560,318,6861,1,27,10,119,26,36,12100
13625,357,4984,11,35,26,152,24,31,9910
35250,-1,1711,4,-19,3,83,-23,0,37575
1788,-19,835,2,-35,-5,68,-37,-10,1813
1813,44,1983,11,15,27,351,4,21,1753
13875,67,33110,4,-4,2,407,-7,-7,13100
3655,-21,3621,0,5,-2,224,5,-3,3830
2828,9,399,0,0,3,42,0,3,3088
7335,-21,5559,22,-28,-2,269,-50,-5,7475
8375,250,9437,159,2678,1484,15616,2519,743,9020
659,-16,444,34,-28,-15,48,-62,-19,680
29425,3998,11733,34,24,83,442,-11,606,32450
4050,-95,2843,14,-73,-52,90,-87,-42,4088
1370,-382,564,4,-12,-63,129,-16,-144,1355
1093,-9,1437,8,4,10,231,-3,-3,1006
17425,908,8537,2,-104,142,458,-106,62,13300
10195,2944,23721,50,231,62,2828,181,618,10430
4122,50,2644,-3,27,6,154,30,6,5025
5880,-101,10748,5,7,-29,158,2,-19,5850
3725,-104,1787,0,-2,-10,46,-2,-22,4015
2000,-27,652,1,-18,-7,18,-19,-7,1755
3887,141,4914,7,36,13,70,29,13,5335
186,2,143,6,-155,6,86,-161,7,171
11075,160,6035,17,-3,44,532,-20,26,12325
821,-2,549,1,59,-1,143,59,-2,721
9465,104,9420,54,177,70,381,123,24,8960
6030,45,2615,2,-3,3,35,-4,4,6865
1833,-53,2427,0,30,-3,99,30,-10,1633
26425,-57,29993,261,-44,19,665,-305,-6,35550
4933,134,4645,3,-4,21,376,-7,16,5048
13000,-402,11969,24,91,-79,1842,67,-72,13825
3627,165,4308,6,27,9,81,22,15,4300
1861,32,1170,1,28,24,204,27,22,1753
2521,30,1170,0,-14,10,351,-14,10,2208
10470,183,4297,5,27,16,189,22,12,12375
1790,27,2082,4,21,15,201,17,7,1890
5340,-165,6026,52,140,-3,992,88,-23,5520
3221,97,2750,186,243,46,719,57,35,2958
6180,189,3920,33,-4,23,365,-37,23,7455
7780,22,7176,1,-41,26,510,-42,5,8995
5347,-59,1989,2,4,4,175,2,-9,5650
1305,21,978,2,45,10,84,44,9,1400
6800,-66,6668,0,-114,38,364,-114,-15,8115
23775,116,10341,372,533,234,2562,162,58,29200
4003,389,4044,0,11,30,557,10,57,3950
2603,-33,1806,4,-9,1,134,-13,-6,2773
7125,462,5309,160,4775,2211,26401,4615,1919,5685
20375,784,22431,170,-1306,1103,52245,-1477,920,18200
3855,-91,819,0,7,-26,79,6,-23,4123
5755,-61,4352,101,11,4,1607,-90,-21,5710
2778,-45,2274,11,14,1,266,3,-19,2590
2507,16,675,1,12,7,59,11,6,3185
45025,380,14128,144,-2097,977,7118,-2241,371,48250
1270,121,1448,51,115,38,420,64,60,1563
68250,2,7486,340,76,79,935,-264,-3,58050
5295,-37,563,7,0,-4,59,-8,-11,5850
8140,427,8864,11,36,39,589,25,49,8270
31450,8,3193,4,-8,-4,32,-12,1,39700
2888,-27,775,0,-44,-6,149,-44,-19,2808
5615,-257,1238,-12,7,-8,287,20,-33,6085
2228,111,2163,3,43,4,164,40,16,2108
2200,-37,303,23,22,-6,79,-1,-47,2253
8300,-63,4716,12,-18,1,299,-29,-8,9360
11050,33,21698,381,-26,82,1885,-407,40,10625
5631,-165,1392,8,23,-30,223,14,-58,2893
2795,-68,2703,63,-8,2,424,-71,-13,3360
7825,-457,2565,7,-3,-104,26,-10,-87,9270
9980,323,12650,5,42,19,157,37,29,9430
984,-10,734,6,60,31,438,54,1,966
3558,-11,1801,2,-68,-8,212,-70,-3,3520
7950,138,7449,40,-120,66,1226,-159,31,6955
4698,-355,1894,4,-10,-19,155,-14,-38,3633
2121,71,1063,4,135,35,409,130,27,1728
2993,79,1201,1,28,19,226,27,11,3158
190000,6148,148789,255,-153,301,6327,-408,237,224000
10600,-268,7719,7,-117,2,493,-124,-27,8085
69950,358,10212,4,-103,8,238,-106,28,83650
37475,368,10089,0,44,56,146,44,35,38675
2570,-219,1673,43,94,256,955,51,-115,2573
882,8,861,18,-35,1,44,-54,7,999
2718,114,3097,11,81,5,326,71,19,1950
2435,-1030,2471,7,103,487,368,96,-273,3935
2230,-18,527,2,-17,-3,261,-20,-3,2255
51450,-1744,9699,64,-306,-333,1245,-369,-322,51800
4625,11,5508,21,32,12,250,11,1,4640
37975,-4,15745,49,-54,45,5948,-103,6,38475
42850,653,17578,70,322,362,2726,252,294,39750
975,-100,889,48,-33,-130,27,-81,-99,1150
902000,9996,152900,690,2514,2600,16007,1824,1806,1194000
386750,6794,192972,2858,2236,7969,64867,-622,5481,405000
1137,-34,577,0,0,-8,4,0,-8,936
5910,-103,1042,4,-25,-24,15,-29,-26,5870
3955,-3,1865,0,-1,69,-1,-1,0,4115
3185,2,2233,1,-47,1,143,-47,1,3453
15675,202,8600,27,-12,42,281,-39,30,19700
604,28,712,23,5,4,46,-18,24,584
10480,175,12325,3,128,-72,271,125,29,12400
38400,278,16926,9,44,59,603,35,27,46600
15000,-328,10344,0,8,12,136,7,-37,16450
5495,28,2243,0,-18,20,186,-18,2,5620
1135,23,1128,22,43,5,137,20,10,1110
8285,3,4571,7,-7,5,206,-13,1,10410
1121,35,1227,-9,25,-2,356,34,5,1063
1440,-240,498,2,-28,-9,119,-30,-88,1990
7150,31,8021,2,-6,3,70,-8,2,8465
15000,377,11314,170,384,250,1622,214,180,13350
3703,160,6207,2,42,15,440,40,30,3798
2067,66,3120,54,86,-1,353,33,13,2100
5860,-45,4289,6,105,-11,1086,99,-8,5660
5790,288,5373,1,26,54,201,26,33,4555
5502,35,2234,0,27,11,89,28,10,5870
6340,55,6451,2,48,28,586,46,18,6850
14300,78,11932,114,-141,26,824,-254,9,13625
17300,702,13505,13,103,60,271,90,61,19125
10450,280,18284,8,127,43,369,119,24,11600
10725,282,9374,4,50,28,447,45,31,9340
6030,-269,12652,51,80,56,2287,28,-37,5930
47875,198,19390,8,14,18,329,6,20,53650
8200,-5,2660,2,-25,2,145,-27,-1,6685
5047,5,6200,11,5,5,590,-6,1,5525
15725,-1187,11735,21,-33,11,265,-53,-170,16150
3000,184,4390,90,78,17,670,-12,42,2390
4676,96,7699,61,-118,27,1261,-180,20,4523
2968,-24,1586,2,-48,-22,71,-50,-5,2663
10250,384,6828,3,39,21,280,36,52,11925
3940,-66,5575,7,19,-12,124,11,-9,4070
40675,853,7768,412,-20,-91,-2530,-432,262,33550
1900,-87,654,0,39,-24,258,39,-75,2475
12675,29,19510,13,111,52,861,98,-9,14125
1383,-41,1796,5,-105,-1,534,-110,-17,1363
55400,587,18452,7,9,66,279,2,37,58650
3445,-116,1000,6,-2,4,203,-7,-17,4923
11675,-295,7804,1,-3,-34,24,-5,-23,12850
6160,548,9460,0,24,42,269,24,54,7495
2911,5,3302,13,-48,11,427,-61,1,2433
3056,-214,2920,0,3,39,144,3,-37,3013
129500,3886,126013,12,484,423,2610,472,466,124000
5118,33,532,8,23,43,263,15,18,4975
2388,14,1632,9,15,4,186,6,6,2360
2488,-134,1821,1,2,3,55,1,-21,1800
6406,-10,1836,1,-1,1,28,-2,-1,4828
776,-95,514,-3,-92,-24,221,-88,-63,1024
997,13,1343,0,26,22,228,26,18,1028
2788,-118,857,-1,7,-4,-23,8,-12,2638
32300,1461,34535,11,110,111,2246,99,87,28575
1930,-29,1250,8,52,36,297,43,0,1011
5765,8,5250,61,-80,37,671,-141,0,6260
154500,7535,433107,466,113,697,11414,-353,521,154000
6920,205,6851,40,40,28,393,-1,32,6690
3497,6,930,2,14,7,89,12,6,6725
2350,16,3539,3,38,10,1754,34,6,2330
4018,63,2207,78,64,54,399,-15,29,3953
3315,-95,2395,27,22,1,186,-5,-20,3630
6635,64,4507,28,51,45,384,23,22,7075
1069,-138,670,2,26,0,133,24,-32,1091
10445,-82,2203,-5,-46,3,86,-41,-17,7770
17350,108,4540,17,104,25,757,88,25,17900
3308,2,3395,0,-67,3,119,-68,1,4338
3145,103,5083,6,16,12,469,10,8,3250
1830,80,2574,4,52,28,238,48,20,1948
4443,250,2001,20,-3,-1,241,-22,156,1873
6420,-114,1226,2,24,-50,115,22,-35,6015
8130,-100,5091,4,13,-24,316,9,-18,11500
9525,-719,12100,33,62,-104,1173,29,-144,12700
61950,1267,84466,54,198,250,2289,143,144,63550
4725,45,11323,1,2,6,197,1,5,5375
63100,446,36375,15,-32,-27,384,-47,28,81300
6580,12,4302,2,39,5,104,37,2,8745
10880,117,4156,47,60,30,533,13,30,11490
4907,6,3015,13,165,33,367,152,-7,5920
17400,52,16412,24,-1159,348,6514,-1183,49,18825
1457,23,984,10,43,3,660,32,15,1555
4917,-146,1401,1,1,-8,59,1,-25,8410
4528,-8,1119,0,17,-22,82,17,-17,3635
2820,-696,6841,3,880,19,638,877,-293,3025
1757,-23,1723,8,-1,14,366,-9,-10,2820
7100,173,9908,21,-38,81,514,-59,28,6705
3727,12,902,6,2,-13,101,-3,7,4395
1620,-77,605,12,8,3,171,-5,-31,1693
4652,-93,5055,47,131,38,984,83,-20,5355
788,-20,376,4,-8,-23,-17,-12,-9,925
2395,-97,1277,1,29,-14,50,28,-15,2610
641,-76,599,-17,21,0,197,38,-58,647
12925,50,6568,102,64,17,155,-37,6,13575
13200,136,20151,33,-32,17,523,-65,13,13825
3973,-81,6643,4,-42,6,169,-46,-11,3383
13050,930,11266,0,-4,8,141,-4,48,13975
1397,-40,1009,1,-55,-6,80,-56,-8,2005
4341,-398,3353,1,-45,-7,85,-45,-83,3658
3153,0,1950,9,159,20,751,149,20,3095
2065,-32,1687,221,11,-23,47,-209,-9,1995
6860,8,6372,2,-7,6,56,-9,1,6410
85550,4398,68420,6401,7950,9215,146572,1548,8357,100250
2786,62,2290,28,74,3,675,46,15,2403
24100,484,11902,3,50,13,694,47,36,18600
5990,-5,2635,20,17,-1,302,-3,-1,9860
503,-11,461,22,14,3,53,-8,-9,637
3710,-54,1386,0,-6,-14,231,-7,-12,4220
39650,165,4863,59,-64,43,682,-123,40,40325
966,3,767,3,6,9,206,3,2,932
13675,-534,4142,0,-20,-15,150,-20,-63,14000
21400,67,3764,32,48,18,331,16,13,23100
21125,334,5460,18,56,47,215,38,36,18875
9665,-183,7580,16,101,54,1778,85,-27,10400
33275,324,12791,1,68,24,435,66,19,33550
7060,-46,995,1,-30,-1,186,-31,-18,8095
4962,-691,5522,61,77,-125,794,17,-139,5605
17025,309,5284,141,-47,17,228,-188,40,18775
3233,435,5402,17,214,55,1641,198,125,3313
6475,118,1169,0,53,24,281,52,28,8470
3153,-45,5265,16,-3,-7,60,-19,-4,2778
5105,179,9761,2,-143,94,456,-145,74,4945
4665,-57,5280,48,6,31,182,-42,-11,4300
4520,411,4148,10,42,41,182,32,42,4683
6100,73,2595,620,349,29,2177,-271,13,5565
4065,68,4040,0,58,0,56,58,7,4283
10825,107,5698,11,-38,34,243,-49,26,14750
130650,543,16789,36,1792,894,1966,1756,671,207550
9800,128,8454,31,26,41,461,-4,27,11500
2085,4,750,1,1,4,24,0,2,2363
12175,150,10714,40,-121,100,1591,-161,33,14845
19200,4,10168,9,-43,11,388,-52,1,60200
8620,-84,5748,2,43,59,540,41,-19,6750
3813,61,3371,1,37,16,223,36,16,4073
5388,-9,901,5,-5,0,69,-11,-3,2490
22250,381,7619,1,203,156,574,202,134,33775
9895,75,3523,14,-35,21,229,-49,14,11925
23950,735,13016,51,216,423,1878,165,293,24575
12650,357,6202,0,50,21,205,50,25,14175
10700,150,13834,22,13,28,683,-9,16,11950
5995,-135,6134,12,6,-6,217,-5,-11,5770
105900,284,47930,239,217,59,2259,-23,19,147000
4771,18,1372,1,56,12,236,54,-3,3843
90800,3756,162716,528,950,1210,4898,422,1040,103500
6155,48,2860,-2,26,2,193,28,12,7895
9780,-7,6765,8,78,-1,540,69,-1,12500
4523,-19,9012,62,12,7,572,-50,-2,4438
1238,23,803,21,14,12,325,-6,7,1103
8321,43893,4585,1,-111,43,942,-112,6724,4798
4350,-138,3908,0,-43,-10,65,-43,-18,4255
8235,118,6701,42,47,64,865,5,45,7185
1510,-36,629,2,-22,22,-332,-24,-11,1205
113500,1296,178546,11,21,107,1031,10,60,118000
1408,65,967,0,-43,15,227,-43,20,1338
30975,-1116,61383,25,51,-82,320,26,-74,31225
5900,168,8736,3,22,9,167,18,10,6095
11900,1297,13813,23,-138,46,377,-160,115,9115
2170,-124,2886,2,-11,-13,67,-12,-14,2105
5881,109,6976,123,1841,547,7906,1718,170,5193
13300,-949,11194,1,30,-12,139,30,-57,19125
2802,-36,3270,3,-17,-6,101,-19,-4,3130
811,-319,2457,7,-11,-12,31,-18,-15,5013
11550,154,5648,25,-31,42,358,-56,44,15575
3738,11,875,3,-30,2,66,-33,2,6093
5375,116,8548,2,12,6,65,10,11,5395
7325,145,10858,37,-7,39,459,-44,28,7385
3031,59,4083,3,284,43,867,281,23,2933
2360,-64,3913,1,31,-5,220,30,-11,2465
3545,80,3412,1,124,5,417,122,27,3115
5950,121,4428,141,75,-10,956,-65,22,4745
3208,-90,3804,1,7,1,-41,6,-13,2653
8715,24,8622,7,3,6,107,-5,5,8260
7340,174,6357,2,-58,10,611,-60,80,9010
13925,229,4055,17,-5,47,908,-22,63,8435
12075,-27,18165,2,-67,-5,62,-69,-3,12475
16950,4799,11751,0,11,5,12,11,935,23350
9160,202,5827,19,10,32,183,-9,24,10035
91100,173,18646,1,-6,-6,97,-7,14,101900
120550,2831,50952,2,321,424,1332,319,364,130400
3925,-52,4447,2,16,3,187,14,-5,3315
17850,164,11184,19,-207,49,959,-225,29,19675
7930,15,4459,4,-11,9,208,-15,2,13275
1956,-359,1253,103,52,-35,176,-51,-53,1533
10625,365,9068,13,39,27,1020,26,47,12025
66400,4236,74752,2653,5062,6456,39181,2409,4349,60950
676,-373,1169,16,2,-6,69,-14,-88,733
64200,-207,15038,373,142,146,4055,-231,19,73500
2288,7,1659,4,20,-14,176,16,2,3068
15825,1150,16276,5,125,91,900,120,121,16400
22750,417,16820,14,254,109,1949,240,72,31175
76300,221,27978,130,-966,60,3585,-1096,49,57950
4048,95,3571,4,23,39,260,19,33,4118
10950,1041,19675,28,-170,-17,1877,-198,75,11125
6001,-46,2633,90,-106,-7,196,-196,-4,4348
5530,114,4057,13,55,32,289,42,26,5725
4778,271,1906,2,-251,36,503,-253,63,4573
12475,-209,24028,17,88,34,929,72,-17,12250
6035,86,3102,-6,70,35,107,76,12,7425
8060,26,11553,73,242,6,3143,169,9,9640
8830,145,7982,-27,-2,9,102,25,17,8835
26150,428,5830,1,31,110,740,30,81,32525
3075,-45,1616,0,15,-1,179,14,-11,4130
12375,199,7130,179,-419,107,739,-598,82,11075
895,-162,508,0,-34,1,-13,-34,-49,686
8320,150,5944,6,31,4,399,25,11,8015
7710,336,10160,24,59,19,130,36,39,8875
1333,-1452,2377,3,-39,-23,-32,-42,-235,1037
5366,-457,3967,2,0,-27,64,-1,-28,4323
20850,144,7758,11,39,26,280,29,16,18925
4658,175,6376,88,94,18,468,7,26,4413
70050,153,12629,68,-2452,489,6537,-2520,255,80550
9025,131,4084,21,99,65,328,78,1,6745
11025,95,1757,-23,2,63,-529,25,-266,14425
959,-293,2623,12,4,-22,445,-8,-71,819
4102,82,7861,9,-363,70,2071,-372,57,4410
1403,-403,3204,-15,-94,-42,2676,-79,-334,1473
17800,452,6212,41,28,61,458,-13,61,16175
9845,459,6521,11,-44,39,375,-55,45,12200
2311,83,2222,5,5,1,347,0,17,1698
5575,159,7639,25,47,16,290,22,17,5925
19800,-35,1841,0,3,-7,68,3,-9,7395
4933,109,3900,19,94,47,893,74,28,4278
14975,-116,3152,1,-14,-38,3,-14,-44,21525
7075,473,7193,19,-102,44,562,-121,74,6960
12125,297,19391,30,64,102,2839,34,73,9855
71500,429,30712,79,22,114,734,-57,82,90750
19750,156,9458,1,67,14,171,65,35,21675
36300,390,38339,1,6,16,335,5,13,35400
9355,272,13312,275,350,334,7985,75,247,10080
10875,103,15145,20,115,23,491,94,9,10670
9315,327,9431,76,460,112,1896,384,81,7805
1436,-26,2254,7,24,-12,291,17,-16,1308
11350,-53,5351,2,-29,1,197,-31,-15,11650
4297,1,3218,6,81,-11,292,75,0,5225
4095,24,4713,4,11,1,175,7,5,4985
4140,40,5041,10,13,5,106,3,4,4788
7615,21,1728,7,8,6,55,1,2,7565
4562,42,4387,2,-5,7,131,-7,3,4905
1866,-224,2953,1,0,100,15,0,-34,1558
147000,6581,95109,152,1442,1918,39773,1290,2468,140500
10825,234,3555,1,110,58,371,110,49,12450
58950,921,27538,14,44,112,806,30,82,61450
34075,-593,6757,259,-79,28,471,-339,-105,36475
5645,185,7148,11,30,3,128,19,14,6115
542100,2998,29423,104,146,212,405,42,170,465100
18675,165,11444,0,16,57,536,16,18,19675
5107,44,2023,1,252,29,393,250,27,5560
2140,7,776,2,49,-6,123,47,1,2110
18425,-200,12782,29,179,-214,-1316,151,-50,14300
5660,340,7808,1,180,46,365,180,42,5385
4002,126,4185,26,-219,103,1099,-244,36,4660
6495,1,7383,35,-17,11,676,-52,0,5875
16450,-635,6056,159,-103,-12,269,-262,-116,18275
6335,240,8334,24,-68,103,2211,-92,76,6960
36850,648,10490,700,566,272,2402,-134,170,35225
52150,462,11207,0,140,56,266,140,42,70650
9765,-431,10541,9,41,7,254,32,-43,10395
16550,238,7471,51,66,15,350,15,32,13525
1838,-63,1549,32,21,-24,829,-12,-24,1460
2823,68,4776,2,51,-9,235,49,7,2610
8710,62,13309,29,-78,46,1148,-107,13,9005
18525,423,5612,7,10,22,587,3,35,18775
1286,-516,1341,2,8,-46,150,7,-63,3105
1563,34,1434,4,25,3,274,21,14,1550
264500,3190,57464,1699,2956,3168,15690,1257,2235,317500
22125,-285,3413,26,67,-131,790,41,-89,26500
21575,467,3894,30,501,104,737,471,68,18050
2128,44,273,1,23,19,193,22,21,2468
2275,37,5605,13,37,0,743,25,5,2330
5475,-170,2453,2,69,-16,160,66,-17,5475
2448,-116,3127,1,-1,9,420,-2,-70,3318
13850,174,8996,61,112,18,461,51,26,17625
5095,139,6153,35,-3,3,384,-38,12,5440
2978,-64,3826,0,-24,4,179,-24,-4,2945
4575,-101,3028,40,-2,-3,195,-42,-11,7095
6605,145,10373,3,-21,15,188,-24,18,5930
9470,91,6458,114,178,42,1702,64,53,9255
4991,54,3232,2,-9,4,155,-11,9,4748
31375,66,4406,42,55,30,229,13,18,46550
9885,-120,7783,204,-204,98,1565,-408,-19,8300
1553,11,2205,15,1,23,558,-13,12,1323
69700,1419,141212,143,305,124,2458,162,110,68500
7945,155,7008,0,19,10,112,19,16,6810
9340,-6,4183,1,-30,-6,134,-31,-2,6955
29175,449,5555,0,4,43,131,4,34,41925
11400,814,7881,7,28,69,285,20,72,15850
26075,695,36091,55,219,241,3813,164,200,31300
6300,151,6627,7,9,25,215,2,30,6600
350,25,496,0,3,-10,133,3,24,398
13025,88,11215,9,37,10,107,28,5,14175
11275,136,1765,57,159,105,595,102,129,10030
4030,94,2869,0,-32,32,255,-32,15,4700
11075,101,8228,2,-87,26,843,-89,19,8525
1385,18,432,46,-15,12,549,-61,7,856
14325,270,4713,31,70,31,909,39,34,12950
8660,298,4034,0,11,11,45,11,21,8480
6600,18,1616,0,-4,11,144,-4,6,5985
5440,160,4416,2,-73,26,341,-75,24,5365
6610,214,11730,2,-57,6,60,-59,23,5925
4130,-121,2095,26,6,-4,308,-20,-20,6840
4078,-70,2415,24,21,-4,248,-4,-17,2993
28425,-68,4051,3,30,-7,106,27,-12,22150
25275,179,10881,7,58,18,219,51,22,19100
5248,-368,6456,40,146,-21,700,105,-114,5240
7495,110,5966,199,-277,218,3515,-476,69,7705
31425,815,8218,34,73,158,638,40,158,38050
11600,-83,12648,4,0,2,382,-3,-20,12225
7055,165,8469,4,63,72,1555,59,57,7055
8235,137,8690,-14,88,50,1065,102,17,7720
15400,-3412,9712,14,38,-48,320,24,-229,16600
29075,167,5441,31,51,25,202,20,44,32400
6605,3,6654,11,27,2,167,16,0,6430
2341,40,1274,57,72,44,931,16,26,2158
8520,-34,2124,26,143,166,1839,116,-8,8120
192000,9039,184590,704,1245,10043,113871,541,8599,202750
4098,-703,7252,55,1786,-209,5716,1731,-743,3443
18475,-511,7261,116,124,-76,1155,8,-46,19775
1328,40,840,23,166,26,346,144,42,1188
350250,5658,235671,2033,1334,1925,38665,-699,910,383000
5121,-157,4708,1,11,-10,53,11,-14,4573
63850,910,11767,5,139,86,461,134,123,84050
3363,-26,4131,3,-19,0,212,-21,-2,3003
22500,172,10957,19,16,53,360,-3,20,24225
1638,-70,1396,-6,2,-12,81,7,-25,1638
37150,215,14067,4,-43,6,81,-46,6,44600
3848,-129,3881,4,-59,9,384,-63,-31,3968
1143,11,1301,3,69,2,598,66,6,1028
42175,314,11141,13,59,76,322,46,31,38800
5340,83,4734,15,20,88,1051,4,42,5545
11625,40,15635,1,207,23,309,206,5,11750
3150,55,5459,16,49,40,661,32,53,3030
3518,23,1688,7,30,18,131,22,10,3728
2737,63,1757,132,6,33,310,-126,15,3270
2832,-46,4834,2,-36,-57,949,-38,-89,3080
5472,115,2954,1,12,21,194,10,18,6355
7385,597,8577,97,177,139,785,80,144,6635
3868,47,2308,37,2,23,675,-35,11,3190
2694,0,179,1,11,5,102,10,0,733
15875,74,10730,42,192,47,1829,149,22,16000
7240,-277,8467,0,-20,-17,71,-20,-26,9890
4781,130,15291,4,34,14,268,30,12,4463
7660,48,4770,6,48,12,261,42,8,7740
5765,-100,11613,-3,13,9,127,16,-8,5160
5945,130,6653,105,-36,76,2191,-140,26,5740
1280,-15,1261,1,11,-4,297,10,-19,1265
24200,163,11430,32,150,140,865,118,0,25250
53050,2011,44736,188,-568,817,7073,-757,565,44800
4960,-101,8458,11,397,-37,1630,385,-37,4590
1857,17,1517,1,23,12,118,22,5,2055
9700,-99,4921,0,3,-14,226,3,-17,8475
4038,61,5696,0,50,20,328,50,4,3745
12475,26,6145,15,8,6,101,-7,3,12225
76850,87,34355,55,86,39,441,30,5,70150
5711,-57,7448,8,7,-1,179,-1,-3,5348
24950,274,11230,85,461,40,3865,377,127,28000
6361,17,7723,4,27,-1,250,23,0,4988
599,-58,392,30,-28,-24,79,-58,-40,576
2637,7,3014,14,-83,6,464,-97,12,2670
1835,-1524,2969,23,-60,-109,144,-83,-309,2043
52400,960,8597,54,-59,17,280,-112,68,57500
27025,363,5138,42,435,221,1820,393,134,26900
45700,990,23406,3,192,177,1571,188,161,50950
12200,332,18238,14,41,36,462,26,32,12475
93600,1281,92362,472,1364,341,7477,892,128,94150
9015,179,5055,11,-147,98,1243,-158,63,9760
3502,-224,2156,179,-20,-37,93,-199,-67,4330
2375,-1853,2016,7,-41,-38,122,-48,-103,3923
8425,-24,2333,115,58,12,968,-57,0,6365
11490,256,4340,17,33,21,269,17,22,10615
3372,-242,1222,0,1,-27,13,1,-25,3690
7990,18,15574,4,5,-1,136,1,1,7410
3518,-680,402,0,-19,-18,-29,-19,-138,3305
32775,695,26932,204,-1330,395,4406,-1533,326,33075
5550,-48,4174,0,-6,-3,115,-7,-9,5495
12125,265,9447,0,64,17,142,64,25,12050
33100,18,17877,1,-4,24,338,-5,-25,44850
3078,107,2708,10,-6,-6,120,-17,30,2390
25625,684,17977,63,68,51,666,5,118,25300
2198,5,1528,36,59,1,314,23,1,1855
2783,142,3453,1,21,8,126,20,22,2533
9850,205,20394,48,-113,18,4008,-161,37,9280
27775,805,30788,1,24,28,54,22,25,28700
17750,152,11429,55,2,107,931,-53,84,28125
27925,-79,1777,2,-40,-11,42,-41,-18,31050
3411,-27,2907,3,-6,-2,152,-9,-4,2913
4505,-335,465,17,-27,-24,58,-45,-83,3955
5870,184,11611,5,-38,11,196,-43,9,5430
5341,29,4192,0,17,4,116,16,3,4803
24325,386,14451,120,75,33,569,-44,48,30925
1938,-53,735,0,-34,-13,23,-34,-10,3623
34250,430,8303,8,51,61,211,44,47,38200
4512,241,5502,3,-137,-11,470,-140,31,4775
11700,317,5229,1,5,43,304,4,42,13525
73800,925,70295,785,-211,458,11501,-995,222,84550
5122,-527,12334,21,44,55,321,23,-238,5360
16000,269,7122,8,-9,21,134,-17,29,16425
9515,-1425,2961,2,-55,-34,50,-56,-209,20200
5800,190,3076,7,42,7,79,34,19,5050
3655,115,3624,127,89,63,825,-38,35,3645
9670,-333,6075,46,143,70,326,97,-46,9915
3690,415,6494,182,448,172,3661,266,138,4608
26175,94,15833,59,-169,35,703,-228,-12,29875
10325,175,10831,2,1659,119,7884,1657,86,9595
14900,679,7266,108,248,112,1081,140,151,14775
