price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
35150,1936,33253,1069,3661,1966,21913,2592,3242,30250
51300,1255,71271,243,-1106,444,5152,-1349,356,56150
105100,1426,133200,275,4930,694,11384,4655,356,127750
11125,-10,7506,93,49,0,2731,-44,-10,9980
56350,640,35940,117,730,359,5594,613,193,62500
502750,8851,311065,1121,2158,2363,15738,1037,1692,478500
10555,131,14850,458,584,274,24370,126,587,9800
3995,61,1306,6,33,32,325,27,30,5635
7370,70,4035,3,15,13,171,12,9,7235
1503,-37,705,1,108,-7,930,107,-15,1375
4942,-89,5980,0,-103,-8,278,-103,-10,5210
2265,-84,2108,10,8,8,163,-1,-13,3868
96750,1615,113534,48,-6670,512,9856,-6718,359,88250
4786,-115,10890,340,188,20,2995,-152,-40,4478
3470,43,9860,85,-77,-33,1405,-162,-5,3440
32850,1202,29398,102,687,769,4285,584,372,35250
3561,5,1480,5,-7,1,342,-11,2,3348
122000,3378,52583,3465,-1936,3335,52002,-5400,3939,120750
7035,-285,1835,2,-3,-43,67,-4,-50,6280
19300,92,8926,6,111,55,419,105,19,22725
163500,1545,75446,2089,1985,668,16447,-103,366,149000
1258,-5,1348,2,18,17,377,17,-2,1333
1735,25,1055,9,51,17,1104,42,14,1980
393750,18679,285857,4726,7541,8148,39960,2815,6414,363000
8695,-3611,3661,460,-918,-1312,13025,-1379,-7346,5125
65250,74,120217,644,-2689,431,18718,-3334,20,64150
2245,-172,1372,6,1,-2,103,-5,-8,3733
2435,15,4422,20,128,2,1299,108,5,2595
693,-47,1222,40,-10,-15,514,-50,-27,637
3982,23,4610,22,29,15,618,7,4,6120
37300,844,45369,15,-34,15,273,-49,13,31000
3005,-26,1584,0,-46,-6,85,-46,-7,2915
12625,599,12065,3,-222,76,1671,-225,63,11450
4766,-18,1275,6,-43,1,238,-49,-8,4398
3893,42,2403,1,-17,21,116,-17,13,3963
21625,502,31979,1,237,85,10500,236,67,20075
76400,2062,60570,269,-1770,657,14082,-2038,704,92950
39600,588,38398,238,-549,378,5870,-787,254,43525
1980,-107,883,108,-794,-43,2446,-902,-186,1975
796,4,964,2,47,15,406,45,7,694
1295,-5,3373,16,17,8,451,1,-5,1280
4821,56,5160,61,143,30,849,83,21,4593
53350,2634,80189,126,761,-8,261,635,89,36575
227250,7819,300473,1923,6080,6687,92677,4157,7619,262500
1336,-15,368,7,5,0,118,-2,-7,1128
3608,-374,3417,2,-38,-22,162,-40,-30,3335
4302,1,4810,39,-155,12,762,-194,4,5470
9785,367,22119,2,-48,24,520,-50,16,9870
35500,1316,36170,111,-781,1410,11331,-892,1028,40375
6730,170,10675,1,-350,106,1169,-351,45,6280
88150,1056,32470,311,800,582,4696,488,401,103500
1074,48,1967,7,-67,107,2341,-74,53,1020
2620,302,6393,160,34,29,2067,-126,87,2395
1665,13,1345,2,30,5,112,28,3,1685
21350,324,22324,29,83,99,470,54,43,23325
5825,62,6538,197,8,77,1248,-189,13,6250
942,22,1800,2,-129,32,917,-130,12,1025
