price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
9430,609,521,-7,-35,119,-221,-28,131,7815
3758,130,153,41,59,4,60,18,14,2623
6855,-52,80,-38,54,-58,-146,93,-77,8055
3028,3,58,-4,4,12,40,7,1,2740
6815,2,271,6,27,6,9,21,1,6515
5656,-18,-23,-15,-200,-104,-488,-185,-11,4963
232000,-3881,-219,-340,604,-1201,-1366,945,-1073,203000
18650,-116,1317,-6,-5370,63,-251,-5364,13,19625
6935,-54,259,-101,-164,29,-81,-64,-13,7095
6275,-50,192,12,-380,-55,-171,-392,-7,6020
4841,-634,-247,16,-28,-55,-92,-43,-63,4608
49400,874,3368,36,153,64,44,116,80,49400
8495,30,39,10,21,-3,-1,11,2,14250
4076,129,58,2,-61,-3,23,-63,104,3793
4323,31,29,-4,26,-1,-26,30,5,4183
12750,-135,447,3,-62,-16,15,-64,-16,12525
3645,15,131,8,-201,-93,100,-209,-52,3615
34725,425,702,-5,-8,22,281,-4,122,42550
3763,-166,-93,6,-68,-8,51,-74,-28,2658
4033,132,251,-61,-241,0,-70,-179,-6,4023
2475,-24,55,9,116,-12,68,108,-4,2568
566,-32,-72,-1,0,12,1,1,-12,840
4780,21,287,4,113,-5,7,107,3,5075
2388,7,38,-3,78,-1,1,82,3,2733
1751,120,75,-43,9,29,407,53,32,1538
3978,-196,-749,-32,282,-79,-231,314,-35,3600
9100,469,-64,32,-189,56,159,-221,64,9035
74900,512,2924,-48,-297,8,0,-248,24,70350
3475,4,48,0,103,-13,14,103,3,4620
1605,5,17,-14,-20,-9,-37,-5,5,1778
4855,946,1142,17,-18,12,-42,-36,172,4895
73550,157,2134,24,233,-24,-88,209,17,68100
2873,84,-12,1,-15,8,-92,-17,20,2850
241,3,-2,0,40,-4,50,40,17,227
1440,109,62,-17,35,10,75,52,88,1450
9660,158,196,46,197,79,25,151,61,11500
9155,131,310,94,27,81,257,-68,65,9715
6725,100,116,11,-23,4,19,-34,4,6075
2336,120,49,-9,-31,5,-6,-21,19,2238
34850,692,1969,18,151,111,279,132,209,32850
26000,-63,223,513,285,-85,-61,-228,-52,27675
