price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,binary
213750,4651,275872,1979,3692,1601,38988,1712,1315,1
3883,-194,2536,0,-6,-9,27,-6,-14,0
28175,-164,7166,2,-5,-11,40,-7,-13,1
3830,31,5803,2,-60,23,859,-62,8,1
25550,740,4049,2,9,46,127,7,48,1
19575,529,8178,2,52,44,258,50,64,1
1137,8,277,0,21,5,155,21,2,1
7090,408,3243,0,8,28,385,7,40,0
10925,-95,2808,7,9,-18,221,2,-11,1
8440,-599,13501,2,-5,16,77,-7,-94,0
19825,355,6702,0,58,48,206,58,41,1
6725,848,3256,1,-51,71,752,-52,103,0
546000,4131,77438,41,189,202,378,148,158,0
95100,783,104934,199,-692,141,4791,-890,94,0
6065,-101,2413,0,35,1,397,34,4,1
5220,56,3189,-79,9,-1,37,89,8,1
4092,-245,1463,0,-16,-18,51,-16,-20,1
13475,1089,58,-2,-117,243,55,-116,1149,0
1113,-94,1713,1,-2,-13,375,-3,-47,0
5810,-199,6720,14,87,4,458,74,-22,0
27050,314,5438,6,180,46,350,174,31,1
5490,207,8497,57,70,43,557,13,33,1
3058,-660,5076,21,10,-21,74,-11,-140,0
6250,-1045,3528,1,12,-44,14,11,-66,1
4895,-378,3914,1,-1,2,463,-2,-46,1
1363,-53,525,10,0,55,95,-10,-55,0
6780,-89,4940,7,-212,-15,329,-219,-36,1
20550,453,6590,5,-47,46,369,-52,40,0
14375,449,8124,20,-31,187,2355,-52,143,1
58750,1667,48036,1832,4105,2392,16106,2273,2097,0
6970,-155,3633,1,48,-36,82,47,-21,0
68900,709,13058,209,-101,206,2014,-311,157,1
9565,118,13711,75,-14,48,654,-88,15,0
7980,-72,4245,10,21,-11,48,11,-11,1
28550,-332,2451,0,-51,-48,19,-51,-65,0
4350,214,6217,10,62,51,463,52,33,0
6160,-160,5535,0,46,15,111,46,-12,0
80350,-1352,67860,23,253,48,1331,230,-114,1
10880,202,12081,24,34,5,173,10,14,1
4155,-107,1499,0,8,-9,58,8,-12,1
6950,-299,5478,1,53,-42,281,52,-65,1
4995,137,5023,36,-21,22,272,-58,15,1
5038,-312,2641,7,-25,-28,83,-31,-32,0
21375,2862,19387,28,525,434,2963,498,1731,0
1925,-28,606,0,28,-9,47,28,-7,1
32825,46,1785,1,-10,-3,37,-10,11,0
85200,32,198415,65,126,-10,925,60,1,1
2300,45,1448,6,23,27,243,17,16,1
12275,145,7158,19,12,11,119,-7,17,0
5936,-28,4304,162,127,-5,67,-34,-2,0
19750,28,2897,10,3,2,18,-7,6,1
1376,-98,2213,15,-29,-9,182,-44,-16,0
10505,-54,7898,11,11,-9,79,0,-4,0
28550,-969,23217,35,18,-49,637,-17,-33,0
6820,-1017,2045,88,99,-64,182,11,-87,0
77300,-213,7016,18,3,7,21,-16,-8,1
55900,1275,23957,1,170,163,422,170,215,0
1573,24,844,2,53,21,143,52,15,0
126500,2050,68402,51,41,272,1900,-9,207,1
42100,2813,31272,8,84,149,544,76,175,1
116250,340,19925,451,-9,94,2191,-460,25,1
3096,-40,1931,5,0,0,85,-5,-18,0
14450,-184,11437,47,-23,23,473,-69,-25,0
12025,-257,14967,7,133,-31,80,125,-28,1
10500,-1324,3935,0,-20,-25,97,-20,-167,1
1841,8,1282,7,-30,-5,72,-37,1,0
956,-26,1492,9,-20,-23,76,-29,-20,1
29550,-100,3626,-28,-36,-16,25,-8,-13,1
2675,-1,618,1,-12,-5,36,-14,-1,0
13225,362,5982,31,-59,6,175,-90,22,0
5193,70,5858,22,25,2,79,3,5,0
1215,108,345,0,-4,37,261,-4,43,0
30075,174,4302,36,63,86,655,27,51,1
4200,-82,1135,6,-34,-22,113,-39,-54,1
34125,186,11884,58,-28,35,139,-86,19,1
9970,-64,4303,1,29,1,67,29,-5,0
10260,546,23900,522,72,307,5600,-450,144,1
4112,-15,960,3,-4,-5,19,-7,-7,1
3553,-52,1583,28,-17,-18,54,-45,-13,1
4448,129,969,2,24,44,145,22,46,0
2898,-122,462,1,-25,-14,52,-26,-43,0
14875,90,3239,8,13,26,133,5,20,1
2558,58,1105,1,15,18,80,14,15,1
2866,85,1346,12,16,14,213,3,23,0
22525,613,9552,18,-44,79,757,-62,68,0
28175,551,13157,0,-253,122,774,-253,84,1
16950,904,21323,102,299,197,3960,198,194,0
23050,149,5808,5,59,49,149,54,24,1
68650,499,31775,19,-45,214,2873,-64,140,1
5310,83,8834,7,55,35,492,48,8,0
73350,881,22826,4,238,99,158,234,94,1
14600,6,6880,99,-76,19,622,-175,1,1
23700,355,8307,52,-1,16,157,-53,24,0
43075,84,18272,2,11,16,111,9,8,1
46575,986,19227,13,46,56,528,33,62,0
38050,-2313,70554,55,95,-64,473,40,-54,1
39325,509,7331,31,65,45,691,34,46,0
20500,180,4784,2,5,2,79,4,9,0
9040,155,9745,5,25,7,134,21,6,0
15100,554,15850,16,3,22,121,-13,22,1
18300,247,3952,248,108,22,262,-140,50,1
12425,412,8010,144,23,164,2049,-120,92,0
1120,-43,235,10,-119,-11,244,-129,-28,0
29325,625,19779,12,80,133,541,68,109,1
14050,302,19999,1,31,16,334,31,27,1
26850,631,12462,1,118,33,122,116,45,0
1587,-170,555,8,-90,-18,-48,-97,-84,1
4325,-48,1975,7,-17,-23,60,-24,-19,1
