price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,binary
4372,-81,672,0,10,-6,35,9,-16,1
751500,6234,129838,695,1116,2908,10822,422,2109,1
3378,-49,2496,2,-25,0,151,-27,-10,0
11875,-168,6728,-3,86,217,-154,88,-52,1
4920,-21,5010,3,-20,17,201,-23,0,1
1965,-8,492,4,44,60,125,41,9,0
131750,794,51263,204,942,383,4438,739,545,1
203000,4634,152769,505,1048,535,5464,543,332,1
6260,236,5879,97,432,286,3291,335,179,0
1083,37,1395,7,372,244,2712,365,69,1
9180,39,2126,0,63,57,257,63,14,1
8605,-312,3946,10,19,-49,1157,9,-130,1
7645,232,6276,20,20,28,169,-1,31,1
1198,5,747,2,3,6,84,1,3,1
1167,-6,396,1,6,0,87,5,-2,1
2585,20,2773,0,7,7,46,7,5,1
41775,571,27723,4,109,57,486,104,34,1
7310,142,2392,5,-1,74,512,-6,40,0
1338,-218,1363,1,-12,-24,29,-13,-41,1
3772,39,746,597,-61,-2,580,-658,44,1
43525,5384,109901,3753,12072,8267,77182,8319,5001,0
178550,3007,39996,386,682,402,1239,296,322,1
15100,58,35977,26,12,314,3830,-14,16,1
2510,17,1763,182,205,75,1158,23,25,0
437250,800,85409,58,725,304,2395,667,174,1
11775,461,8341,34,297,116,2378,263,170,1
581,1,424,24,18,6,387,-6,4,1
4408,118,4650,1,14,23,167,13,19,0
6550,249,4052,6,51,46,370,45,36,1
2835,-11,3251,56,408,35,1912,352,6,0
23775,594,15972,31,333,84,826,302,59,0
4445,107,4168,9,-189,29,436,-198,17,1
64900,-461,34611,207,600,210,1871,394,-77,1
9600,80,4779,6,-25,51,539,-31,18,1
14925,288,3320,103,203,126,761,100,139,0
1837,-22,1714,3,-14,-16,142,-17,-17,1
2115,60,4093,108,157,35,1300,49,35,0
7205,703,11668,-3,1,137,1393,4,115,0
9975,77,7040,6,16,7,386,10,5,1
1735,-322,3572,-14,-90,-58,2754,-76,-357,0
4766,14,3717,8,-76,19,352,-84,2,0
7760,669,9434,1,152,44,2604,152,204,1
1740,40,1868,5,-5,24,289,-11,14,0
2230,7,838,6,-17,8,120,-23,5,1
4270,30,7618,11,-36,7,360,-47,3,0
3608,-57,4746,148,283,42,1117,134,-30,1
11925,142,7330,48,-31,8,115,-78,9,1
2248,395,5673,150,386,127,3047,236,96,0
24150,411,9296,22,80,8,263,58,44,1
16100,326,16388,487,512,52,662,25,28,1
4840,-29,3396,6,8,6,187,2,-6,1
3353,304,5558,259,180,200,1812,-79,326,0
